Categoria;Prueba;Marca;Año;Competencia;Nombre Atleta;
Adulto Masculino;800m;108,36;2019;Sudamericano Adulto;Alejandro Peirano;
Adulto Masculino;800m;117,97;2019;Sudamericano Adulto;Rafael Muñoz;
Adulto Femenino;800m;130,48;2019;Sudamericano Adulto;Berdine Castillo;
Adulto Masculino;Lanzamiento Jabalina;75.97 metros;2019;Sudamericano Adulto;Francisco Muse;
Adulto Femenino;Lanzamiento Jabalina;49.16 metros;2019;Sudamericano Adulto;María Paz Ríos;
Adulto Masculino;Lanzamiento Bala;15.68 metros;2019;Sudamericano Adulto;Rodrigo Cárdenas;
Adulto Femenino;Lanzamiento Bala;16.77 metros;2019;Sudamericano Adulto;Ivanna Gallardo;
Adulto Masculino;Lanzamiento Disco;54.31 metros;2019;Sudamericano Adulto;Claudio Romero;
Adulto Femenino;Lanzamiento Disco;55.09 metros;2019;Sudamericano Adulto;Karen Gallardo;
Adulto Masculino;Lanzamiento Martillo;75.27 metros;2019;Sudamericano Adulto;Gabriel Kehr;
Adulto Masculino;Lanzamiento Martillo;73 metros;2019;Sudamericano Adulto;Humberto Mansilla;
Adulto Femenino;Lanzamiento Martillo;63.27 metros;2019;Sudamericano Adulto;Mariana García;
Adulto Masculino;Salto Largo;7.29 metros;2019;Sudamericano Adulto;Daniel Pineda;
Adulto Femenino;Salto Largo;6.36 metros;2019;Sudamericano Adulto;Macarena Reyes;
Adulto Femenino;800m;129,44;2021;Sudamericano Adulto;Berdine Castillo;
Adulto Femenino;800m;133,92;2021;Sudamericano Adulto;Josefa Quezada;
Adulto Masculino;Lanzamiento Jabalina;70.53 metros;2021;Sudamericano Adulto;Francisco Muse;
Adulto Femenino;Lanzamiento Jabalina;49.78 metros;2021;Sudamericano Adulto;María Paz Ríos;
Adulto Masculino;Lanzamiento Bala;18.1 metros;2021;Sudamericano Adulto;José Miguel Ballivian;
Adulto Femenino;Lanzamiento Bala;16.94 metros;2021;Sudamericano Adulto;Ivanna Gallardo;
Adulto Masculino;Lanzamiento Disco;63.18 metros;2021;Sudamericano Adulto;Lucas Nervi;
Adulto Femenino;Lanzamiento Disco;59.72 metros;2021;Sudamericano Adulto;Karen Gallardo;
Adulto Masculino;Lanzamiento Martillo;75.83 metros;2021;Sudamericano Adulto;Humberto Mansilla;
Adulto Masculino;Lanzamiento Martillo;75.18 metros;2021;Sudamericano Adulto;Gabriel Kehr;
Adulto Femenino;Lanzamiento Martillo;63.2 metros;2021;Sudamericano Adulto;Mariana García;
Adulto Masculino;Salto Largo;7.62 metros;2021;Sudamericano Adulto;Daniel Pineda;
